country,F,M
Australia,5,4
Dominican Republic,4,7
Mexico,4,6
Sweden,3,3
Bolivia,3,12
Colombia,3,8
Israel,2,2
Peru,2,5
Philippines,2,7
Czech Republic,2,4
Canada,2,6
Tunisia,1,3
Turkey,1,6
South Korea,1,3
Serbia,1,8
Ukraine,1,9
Uruguay,1,6
Nigeria,1,8
New Zealand,1,3
Argentina,1,4
Kyrgyzstan,1,6
Malawi,1,5
Georgia,1,8
Cape Verde,1,4
Chile,1,4
Costa Rica,1,5
Japan,1,2
England,1,3
Iceland,1,4
Indonesia,1,11
Jamaica,1,4
Venezuela,1,5
South Africa,0,1
São Tomé and Príncipe,0,2
China,0,1
Papua New Guinea,0,1
United States,0,7
Bangladesh,0,1
